,ids,text,times,screen_names,names,hashtag1,hashtag2,hashtag3,url1,url2,url3,in reply to screen name,in reply to user id,in reply to status id,statuses count,friends count,followers count,lang of the account,location of the account
25,874686733459312642,"RT @actionfrancaise: ""La République, c'est l'amour de tous les peuples, à l'exception du peuple français."" Charles Maurras https://t.co/yqB…",Tue Jun 13 17:55:42 +0000 2017,CourteheuseR,coنяteheنse,,,,,,,,,,55059,1267,1933,fr,
26,874686765994561536,@redha_crabzy Ca se fera pas zinc bassem il a interdit giroud de lyon,Tue Jun 13 17:55:50 +0000 2017,gaetanbln51,O'YEBI,,,,,,,redha_crabzy,2924433878,874663585494044673,6990,92,178,fr,"Reims, VLF"
27,874686768620154880,"RT @ArianaGrande: Merci, Lyon ♡ https://t.co/CfCgkR0sjM",Tue Jun 13 17:55:51 +0000 2017,maayhsilva02,mayh,,,,https://www.instagram.com/p/BVIseEUlB2X/,,,,,,1335,966,426,pt,"Ontario, CA 🛩"
28,874686826258341889,"Gay sénégalais pour gay actif sur Lyon Sénégalais et gay âgé de 33 ans, je suis un passif qui ai https://t.co/uaURmgzYKA #rencontreblackgay",Tue Jun 13 17:56:04 +0000 2017,rencontresgay,Rencontre Gay,rencontreblackgay,,,http://www.rencontreblackgay.com/?p=94,,,,,,47247,85,1512,fr,
29,874686835351486464,RT @rosesbloomforU: Vs connaissez des étudiant.e.s en licence de psychologie à Lyon 2 ??,Tue Jun 13 17:56:07 +0000 2017,FlcmRomeo,kiddy,,,,,,,,,,37098,153,146,fr,Redondo Beach
30,874686879685390336,"RT @chat_lena: Bouteille à la mer ?
J’ai trouvé ça à Gare de Lyon (déso pour la qualité), si jamais sꜵn propriétaire tombe sur ce… ",Tue Jun 13 17:56:17 +0000 2017,MasterofPoupets,Oleander,,,,,,,,,,16969,163,90,fr,
31,874686965186211840,RT @lvergnat: Beaucoup de monde au @SDEntrepreneurs de #Lyon aujourd'hui. Place to be pour développer son projet de #Startup et d… ,Tue Jun 13 17:56:38 +0000 2017,3pointQUATORZE,TROIS(point)QUATORZE,Lyon,Startup,,,,,,,,5352,438,306,fr,Lyon
32,874687005904564225,"RT @berth_antoine: Expulsion en cours du @bastion_social à Lyon, bâtiment abandonné transformé en centre social populaire.

https://t.co/9Z…",Tue Jun 13 17:56:47 +0000 2017,Pascal_Girardin,Pascal Girardin,,,,,,,,,,157319,3303,1974,fr,France 
33,874687007078977541,RT @Lilii_June: @VirginRadiofr @CanonFrance Il y a quelques jours à Lyon au concert de @coldplay ❤️ the best band ever 😍 #CanonEOSM6 https:…,Tue Jun 13 17:56:48 +0000 2017,VirginRadiofr,VirginRadio Officiel,CanonEOSM6,,,,,,,,,66590,1001,161836,fr,France
34,874687015341740033,"RT @WYN_OL: Lyon officialise le transfert de Valbuena à Fenerbahçe pour 1,5 millions d'euros https://t.co/7oBfu5bfjj https://t.co/ksqX7g3yPn",Tue Jun 13 17:56:50 +0000 2017,Riyuzaki__,㊙️🈲,,,,http://www.wynfoot.fr/actualites/categorie/ol/165682177?t=lyon_officialise_le_transfert_de_valbuena_a_fenerbahce_pour_15_millions_deuros,,,,,,48047,283,608,fr,Planète Vegeta
35,874687086217101312,RT @lvergnat: Beaucoup de monde au @SDEntrepreneurs de #Lyon aujourd'hui. Place to be pour développer son projet de #Startup et d… ,Tue Jun 13 17:57:06 +0000 2017,NiroAmandine,Niro,Lyon,Startup,,,,,,,,1741,8021,7800,fr,"La Rochelle, France"
36,874687110753681409,"RT @ArianaGrande: ♡ @ Lyon, France https://t.co/UOiYm25RZl",Tue Jun 13 17:57:12 +0000 2017,Teuumy,Thomas Coulin,,,,https://www.instagram.com/p/BVLe4YplCA4/,,,,,,2,14,1,fr,
37,874687168161173504,@onlylight soirée de gala à l'hôtel de ville de Lyon avec les acteurs de la #lumiere @AFEGrandParis @Clusterlumiere https://t.co/E2lr5hACRC,Tue Jun 13 17:57:26 +0000 2017,AFEGrandParis,AFE Grand Paris Idf,lumiere,,,,,,onlylight,47827679,,260,87,136,fr,
38,874687172695216129,RT @JHONRACHID: Retour au quartier ❤️LYON #69latrick #barbeukduramadan #lasource https://t.co/Mnb42DHyLR,Tue Jun 13 17:57:27 +0000 2017,Majin_Batard,Batard No Jutsu,69latrick,barbeukduramadan,lasource,,,,,,,352,227,17,fr,Planète Namek
39,874687211593240577,RT @pictanews: #Lyon : L'hôtel Dieu de l'intérieur https://t.co/DiYVxzdbaJ (@F3Rhone_Alpes) #culture #lyon #rhône,Tue Jun 13 17:57:36 +0000 2017,FavierGislaine,Gislaine Favier,Lyon,culture,lyon,http://picta.fr/u/381u,,,,,,4452,607,113,fr,Lyon
40,874687234548662272,"@itsLittleAna 
Lyon
stream
trop jolie
en vacances au soleil T.T
sport",Tue Jun 13 17:57:42 +0000 2017,Blond1i,Din,,,,,,,Blond1i,4889257000,874686875855933440,5063,200,368,en,Lyon
41,874687247681040384,RT @Lilii_June: @VirginRadiofr @CanonFrance Il y a quelques jours à Lyon au concert de @coldplay ❤️ the best band ever 😍 #CanonEOSM6 https:…,Tue Jun 13 17:57:45 +0000 2017,MindsLOFT,Adrien ➰,CanonEOSM6,,,,,,,,,92177,505,1580,fr,Belgium
42,874687273169715200,"A Lyon, le GUD expulsé de son squat https://t.co/Ecg4PStTYu via @libe",Tue Jun 13 17:57:51 +0000 2017,MAPierrefond,marc#🇫🇷🙋‍♂️💯,,,,http://www.liberation.fr/france/2017/06/13/a-lyon-le-gud-expulse-de-son-squat_1576556,,,,,,42375,28,687,fr,France 
43,874687273618612224,"Je serai samedi à #Lyon aux côtés de @LGPLyon ! Un seul mot d'ordre : « Ici et ailleurs, nos droits ne sont pas nég… https://t.co/Rr29qPL8sG",Tue Jun 13 17:57:51 +0000 2017,FlorianVOff,Florian V. 🇫🇷,Lyon,,,https://twitter.com/i/web/status/874687273618612224,,,,,,10251,499,1265,fr,Paris 
44,874687276495908865,Imagine un jour tu te reveille et tu supporte Lyon,Tue Jun 13 17:57:52 +0000 2017,InesBleuBlanc,Inès Ⓜ,,,,,,,,,,22628,762,1144,fr,
45,874687282845855744,RT @lyoncap: Lyon : le Gud expulsé de son squat par le tribunal d’instance https://t.co/XMg4WyoxrY #Lyon #actu https://t.co/bq0N4JHiIt,Tue Jun 13 17:57:53 +0000 2017,gyrovaguerie,RenewSense8,Lyon,actu,,http://dlvr.it/PLyb55,,,,,,67,89,18,fr,
46,874687296561442816,"@Kantique_ @Melanie__dx j'ai été chez eux l'année dernière, excellent dossier terminale + bon classement en premièr… https://t.co/UmnFo9mEGE",Tue Jun 13 17:57:57 +0000 2017,Pouknouki,Kowal!* φ,,,,https://twitter.com/i/web/status/874687296561442816,,,Kantique_,4450456671,874621010783424512,20160,643,219,fr,Clermont City Beach
