,ids,text,times,screen_names,names,hashtag1,hashtag2,hashtag3,url1,url2,url3,in reply to screen name,in reply to user id,in reply to status id,statuses count,friends count,followers count,lang of the account,location of the account
68,874687722522279938,"A Lyon, le GUD expulsé de son squat https://t.co/TsdWblCS0X",Tue Jun 13 17:59:38 +0000 2017,MarieMarysienka,Marysieńka,,,,http://www.liberation.fr/france/2017/06/13/a-lyon-le-gud-expulse-de-son-squat_1576556?xtor=rss-450,,,,,,115261,1161,2564,fr,
69,874687740650061824,"RT @Footballogue: [#Transfert🔄] BREAKING !

Selon @tancredipalmeri, le Bayern Munich a trouvé un accord avec Lyon pour Corentin Tolis… ",Tue Jun 13 17:59:42 +0000 2017,Antho_eag,Anthony Le Cabec EAG,Transfert,,,,,,,,,3602,277,97,fr,"Plestin-les-Grèves, France"
70,874687750754246656,"RT @Creer_a_Lyon: Frederic COFFY du Reseau Entreprendre Rhône Alpes @RE_Rhone en direct du #SDE2017 
https://t.co/wB4E75ILHF",Tue Jun 13 17:59:45 +0000 2017,3pointQUATORZE,TROIS(point)QUATORZE,SDE2017,,,http://www.salondesentrepreneurs.com/lyon/podcasts/frederic-coffy-2261,,,,,,5356,439,306,fr,Lyon
71,874687755271450624,@OneForOverhaul @hyuuuga_ J'ai des contacts à Lyon 📞✉📨📩,Tue Jun 13 17:59:46 +0000 2017,Chakalinho,Daffy Duckinho,,,,,,,OneForOverhaul,786875139954733056,874685942799454208,35006,209,1798,fr,
72,874687767313346560,il faut assumer ses engagements !! https://t.co/LwldDErBOu,Tue Jun 13 17:59:49 +0000 2017,Citoyenpourlyon,Lyon Citoyenne,,,,https://twitter.com/saladelyonnaise/status/874683806413975552,,,,,,2118,365,155,fr,"Lyon, France"
73,874687814486589440,Je vous donne rendez-vous demain toute la journée (et dès 9h) au #SDE2017 #Lyon,Tue Jun 13 18:00:00 +0000 2017,agrclement,Clement AUGER,SDE2017,Lyon,,,,,,,,1496,746,514,fr,Lyon 
74,874687820505518080,RT @tvlofficiel: La police a l'ordre d'évacuer le Bastion Social à Lyon ..Les décisions sont-elles plus longues pour les Migrants ? https:/…,Tue Jun 13 18:00:01 +0000 2017,parismax2,rivera maxime,,,,,,,,,,19178,481,246,fr,"Ile-de-France, France"
75,874687939120427008,RT @julien_mgrt: la drogue est pure https://t.co/fpP2eAWIPG,Tue Jun 13 18:00:30 +0000 2017,MannyMODESTO,Manny Modesto,,,,https://twitter.com/wyn_ol/status/874591114157805568,,,,,,8955,2261,375,fr,Marseille
76,874687943398621185,Vous coutez bocoup les freres Nicolas @PoliceNationale https://t.co/gtTGSvXXbL,Tue Jun 13 18:00:31 +0000 2017,Apacheledauphin,leDauphin,,,,https://twitter.com/le_Parisien/status/874687331030249473,,,,,,9455,478,78,fr,Versailles
77,874687974193197057,@peter_jak88 @PaulinoAt La sardine a pas compris si lyon et Marseille son sur les meme joueur c'est qui on le même budget de transfert...,Tue Jun 13 18:00:38 +0000 2017,fablyon69330,fab lyon,,,,,,,peter_jak88,2788064886,874687626195984386,4424,2155,372,fr,France
78,874687979285041152,"RT @actionfrancaise: ""La République, c'est l'amour de tous les peuples, à l'exception du peuple français."" Charles Maurras https://t.co/yqB…",Tue Jun 13 18:00:39 +0000 2017,acturoyalisme,Actu du Royalisme,,,,,,,,,,3252,11,163,fr,
79,874687983051575301,RT @Centre_JCartier: Anniversaire de la ligne de @AirCanada au pavillon @OnlyLyon : bonne fête et longue vie à la ligne directe Montréal… ,Tue Jun 13 18:00:40 +0000 2017,Quebec_FR,Québec en France,,,,,,,,,,10619,2022,7713,fr,"Paris, France"
80,874687983378714626,RT @le_Parisien: Rhône : 500 kg de cannabis dans un «go fast» intercepté près de Lyon https://t.co/3SktI8MZ64,Tue Jun 13 18:00:40 +0000 2017,Barjolle85,Elisa,,,,http://l.leparisien.fr/bM6j-pyd6,,,,,,18096,479,539,fr,France
81,874687991842832384,#lyon #france Visite express à Lyon juste avant l'Italie et nous avons enfin pu explorer à pied… https://t.co/GPrccSDXVF,Tue Jun 13 18:00:42 +0000 2017,PepitesDuVoyage,Camille S.,lyon,france,,https://www.instagram.com/p/BVSf6LGDt6o/,,,,,,1092,321,245,fr,on the road again...
82,874687999208042496,RT @JohnGoodDindon: À ce stade les pouvoirs publics valident le fait que le vieux Lyon est sous contrôle des milices fascistes… ,Tue Jun 13 18:00:44 +0000 2017,oslaracotta,Osla 🌙,,,,,,,,,,7510,444,75,fr,
83,874688003716915202,Préparatif du SO digital @opensoprasteria en direct du tennis Club de Lyon @TLMLyon https://t.co/PAqwZzGh5X,Tue Jun 13 18:00:45 +0000 2017,CBoerstraTLM,Catherine Boerstra,,,,,,,,,,311,56,60,fr,Lyon
84,874688017054801922,RT @cmoreldarleux: Très heureuse de voir les convergences se recréer naturellement au 2nd tour à Lyon : soutien total @ElliottAubin… ,Tue Jun 13 18:00:48 +0000 2017,smj1er,SMJ,,,,,,,,,,30653,450,376,fr,sur terre 
85,874688054577033216,"#unjobpourHamon 
Hey @benoithamon : une idée de nouveau job ? remplaçant de Valbuena à Lyon !",Tue Jun 13 18:00:57 +0000 2017,sylvainst_pr,sylvainst-pr,unjobpourHamon,,,,,,,,,650,217,110,fr,
86,874688061384392704,"La température par @FaIiven :

23°C à Paris
26°C à Lyon
27°C à Marseille
27°C à Bordeaux
20°C",Tue Jun 13 18:00:59 +0000 2017,KhwandjMeteo,Khwandj Météo,,,,,,,,,,50810,1,6,fr,
